Date,Price,Open,High,Low
2018-12-31,121.25,120.980.003,121.260.002,120.830.002
2018-12-28,121.059.998,120.800.003,121.080.002,120.720.001
2018-12-27,120.57,120.57,120.900.002,120.139.999
2018-12-26,119.660.004,120.620.003,121.0,119.57
2018-12-24,120.019.997,119.57,120.139.999,119.57
2018-12-21,118.720.001,119.190.002,119.25,118.57
2018-12-20,119.239.998,119.110.001,119.739.998,118.68
2018-12-19,117.43,118.239.998,118.959.999,117.400.002
2018-12-18,118.150.002,117.849.998,118.199.997,117.809.998
2018-12-17,117.870.003,117.370.003,118.029.999,117.349.998
2018-12-14,117.059.998,116.629.997,117.300.003,116.580.002
2018-12-13,117.529.999,117.540.001,117.620.003,117.260.002
2018-12-12,117.790.001,117.699.997,117.949.997,117.610.001
2018-12-11,117.540.001,117.669.998,117.889.999,117.349.998
2018-12-10,117.68,117.699.997,117.940.002,117.419.998
2018-12-07,118.089.996,117.620.003,118.230.003,117.540.001
2018-12-06,117.139.999,117.379.997,117.690.002,116.919.998
2018-12-04,117.120.003,117.370.003,117.389.999,116.93
2018-12-03,116.410.004,116.599.998,116.769.997,116.300.003
2018-11-30,115.540.001,115.419.998,115.660.004,115.040.001
2018-11-29,115.739.998,115.970.001,116.239.998,115.559.998
2018-11-28,115.379.997,114.760.002,116.07,114.589.996
2018-11-27,114.949.997,115.550.003,115.629.997,114.599.998
2018-11-26,115.639.999,115.839.996,115.870.003,115.529.999
2018-11-23,115.769.997,115.760.002,115.879.997,115.589.996
2018-11-21,115.860.001,115.940.002,116.349.998,115.860.001
2018-11-20,115.669.998,115.940.002,115.949.997,115.370.003
2018-11-19,115.669.998,115.449.997,115.919.998,115.370.003
2018-11-16,115.620.003,115.830.002,115.879.997,115.370.003
2018-11-15,114.769.997,114.830.002,114.989.998,114.559.998
2018-11-14,114.639.999,113.529.999,115.059.998,113.459.999
2018-11-13,113.699.997,113.720.001,113.93,113.419.998
2018-11-12,113.660.004,114.010.002,114.050.003,113.580.002
2018-11-09,114.480.003,114.599.998,114.75,114.139.999
2018-11-08,115.779.999,115.769.997,116.150.002,115.5
2018-11-07,116.029.999,116.260.002,116.349.998,115.900.002
2018-11-06,116.040.001,116.440.002,116.529.999,115.739.998
2018-11-05,116.370.003,116.279.999,116.669.998,116.230.003
2018-11-02,116.650.002,116.610.001,116.980.003,116.389.999
2018-11-01,116.629.997,116.330.002,117.07,116.18
2018-10-31,115.150.002,114.889.999,115.169.998,114.660.004
2018-10-30,115.800.003,115.849.998,116.040.001,115.639.999
